Workbook_ID,Template_Path,Expected_SHA256,Variant,Variant_SHA256,Matches_Expected,Byte_Length
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,b91af6ce26f19b019d514aee0d5b71ad8fc3bd95921de69757fa9552f6876d42,utf16be-lf-bom-one-final-newline,549e8f2a485ac881666422504891b0d2eec4b8454c055cce4e74dca6e9c83176,False,38434
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,current-repository-bytes,efa96d1c6cb81b1aac8aa650161bae4425eec744bd49d5fec010ce86b9aa54b6,False,9960
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-lf-no-bom-no-final-newline,db093be910dc18281a173f1adcc11ebb11279b0ef746689dd833b59610cd042f,False,9959
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-lf-no-bom-one-final-newline,efa96d1c6cb81b1aac8aa650161bae4425eec744bd49d5fec010ce86b9aa54b6,False,9960
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-crlf-no-bom-no-final-newline,7b9696ba188f759a791da6cd70f67892d640e26f0ffecfe3fb570580a184cedf,False,10162
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-crlf-no-bom-one-final-newline,87381516418eb5a745328084ea14bf75db0f9012ecde3cd51c6ebd5689de2596,False,10164
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-lf-bom-no-final-newline,74c364c4a4e563ea2ebf7f3f17dfccbf9cbd4b5394fe78cffa3e1438b10b8f93,False,9962
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-lf-bom-one-final-newline,bf338bdb9c9bb8465c201335f834d08e6b65f7f24cc308c99385505419eee568,False,9963
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-crlf-bom-no-final-newline,6174c8d982fac9f594a2765b47049ef50f278ff6581b459d4d28a64159bcec75,False,10165
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf8-crlf-bom-one-final-newline,8a0a2145ba3afefcd61aa0099b2c8ab5ff992de8c85752782515d91081640cbe,False,10167
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf16le-lf-bom-no-final-newline,07f4eb56818450c96faf6a9a5e7009a9b4112af8055f0dba56c8cadac084d7f4,False,19920
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf16le-lf-bom-one-final-newline,5aa3a0c1798b4a037a0056b703d9165b05db151931e1700b1fc81309bac40e74,False,19922
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf16le-crlf-bom-one-final-newline,5542520af0abe8359ead5d158efa03696684c88e07e74ba8671e40ec83fcd866,False,20330
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,fd652fcae5adc28be74745dffbec937eaf419997fffa2a2d30d4c210751584f9,utf16be-lf-bom-one-final-newline,78d0a89b7acebfc40f440f2e20d29bfa9d48050e3bfa8144e46b0ede6858bcd8,False,19922
